Date,Time,Open,High,Low,Close,Volume,OI
04/27/1981,00:00,0.0,136.56,131.43,132.72,258960000,0
05/04/1981,00:00,0.0,132.69,128.93,131.66,220980000,0
05/11/1981,00:00,0.0,133.21,128.78,132.17,208890000,0
05/18/1981,00:00,0.0,133.65,130.42,131.33,214630000,0
05/25/1981,00:00,0.0,134.92,130.64,132.59,212570000,0
06/01/1981,00:00,0.0,134.62,128.77,132.22,266920000,0
06/08/1981,00:00,0.0,135.09,130.94,133.49,259700000,0
06/15/1981,00:00,0.0,135.67,130.49,132.27,271430000,0
06/22/1981,00:00,0.0,134.3,131.1,132.56,223440000,0
06/29/1981,00:00,0.0,133.5,127.84,128.64,173660000,0
07/06/1981,00:00,0.0,130.43,126.39,129.37,229610000,0
07/13/1981,00:00,0.0,131.6,128.14,130.76,214070000,0
07/20/1981,00:00,0.0,130.6,125.96,128.46,215690000,0
07/27/1981,00:00,0.0,131.78,128.28,130.92,200420000,0
08/03/1981,00:00,0.0,134.04,129.42,131.75,223840000,0
08/10/1981,00:00,0.0,135.18,130.83,132.49,229660000,0
08/17/1981,00:00,0.0,133.02,128.7,129.23,203440000,0
08/24/1981,00:00,0.0,128.59,122.85,124.08,223250000,0
08/31/1981,00:00,0.0,125.58,119.24,120.07,207530000,0
09/07/1981,00:00,0.0,122.18,116.85,121.61,180850000,0
09/14/1981,00:00,0.0,122.0,115.18,116.26,211930000,0
09/21/1981,00:00,0.0,118.19,111.64,112.77,247370000,0
09/28/1981,00:00,0.0,120.16,110.19,119.36,247960000,0
10/05/1981,00:00,0.0,123.28,118.08,121.45,243930000,0
10/12/1981,00:00,0.0,122.37,118.01,119.19,194280000,0
10/19/1981,00:00,0.0,121.94,117.58,118.6,224230000,0
10/26/1981,00:00,0.0,122.53,116.81,121.89,238980000,0
11/02/1981,00:00,0.0,126.0,121.85,122.67,267300000,0
11/09/1981,00:00,0.0,124.71,121.06,121.67,245440000,0
11/16/1981,00:00,0.0,122.59,119.13,121.71,237810000,0
11/23/1981,00:00,0.0,125.71,120.76,125.09,189790000,0
11/30/1981,00:00,0.0,127.32,123.63,126.26,244880000,0
12/07/1981,00:00,0.0,126.91,123.52,124.93,228540000,0
12/14/1981,00:00,0.0,124.87,121.73,124.0,229810000,0
12/21/1981,00:00,0.0,124.71,121.57,122.54,156460000,0
12/28/1981,00:00,0.0,123.42,121.04,122.55,147360000,0
01/04/1982,00:00,0.0,123.72,117.7,119.55,221240000,0
01/11/1982,00:00,0.0,120.34,114.07,116.33,237080000,0
01/18/1982,00:00,0.0,118.15,114.29,115.38,231830000,0
01/25/1982,00:00,0.0,121.38,113.63,120.4,278190000,0
02/01/1982,00:00,0.0,119.81,114.88,117.26,248950000,0
02/08/1982,00:00,0.0,117.04,112.82,114.38,233340000,0
02/15/1982,00:00,0.0,115.09,112.06,113.22,208690000,0
02/22/1982,00:00,0.0,114.9,110.03,113.11,281210000,0
03/01/1982,00:00,0.0,114.8,108.31,109.34,328820000,0
03/08/1982,00:00,0.0,111.06,104.46,108.61,305390000,0
03/15/1982,00:00,0.0,111.59,107.47,110.61,241690000,0
03/22/1982,00:00,0.0,114.51,110.71,111.94,268490000,0
